管理番号,変換前コード,変換前表記,変換後コード,変換後表記,等価性,コメント,自由記載欄
,RAS_O17.MSH,メッセージヘッダ,MessageHeader,メッセージヘッダ,equivalent,,
,RAS_O17.PID,患者識別,JP_Patient,患者,equivalent,,
,RAS_O17.AL1,アレルギー情報,JP_AllergyIntolerance,アレルギー情報・不耐性,equivalent,,
,RAS_O17.PV1,来院情報,Encounter,来院情報,equivalent,,
,RAS_O17.ORC,共通オーダ,JP_MedicationAdministration_Injection,薬剤／処置 成分オーダ,relatedto,,
,RAS_O17.RXE,薬剤／処置 コード化されたオーダ,JP_MedicationRequest_Injection,注射薬剤処方,disjoint,実施にひもづくオーダ情報、MedicationAdministration.request 参照を想定する。現在協議中であるため「disjoint」とし、マッピング対象外としている。,
,RAS_O17.TQ1,タイミング／数量,JP_MedicationAdministration_Injection,注射薬剤処方投与実施情報,disjoint,実施にひもづくオーダ情報、現在協議中であるため「disjoint」とし、マッピング対象外としている。,
,RAS_O17.RXR,投薬経路,JP_MedicationAdministration_Injection,注射薬剤処方投与実施情報,disjoint,実施にひもづくオーダ情報、現在協議中であるため「disjoint」とし、マッピング対象外としている。,
,RAS_O17.RXC,薬剤／処置 成分オーダ,JP_MedicationAdministration_Injection,注射薬剤処方投与実施情報,disjoint,実施にひもづくオーダ情報、現在協議中であるため「disjoint」とし、マッピング対象外としている。,
,RAS_O17.RXA,薬剤／処置 投薬,JP_MedicationAdministration_Injection,注射薬剤処方投与実施情報,equivalent,,
,RAS_O17.RXA,薬剤／処置 投薬,Immunization,予防接種,equivalent,RXE-2 が 「06 予防接種（JHSI 表-#0002）」の場合、MedicationAdministrationに加えて生成する（検討中）。,
,RAS_O17.RXR,投薬経路,JP_MedicationAdministration_Injection,注射薬剤処方投与実施情報,relatedto,,
,RAS_O17.CTI,治験情報,未定,未定,disjoint,実施にひもづく治験情報、現在協議中であるため「disjoint」とし、マッピング対象外としている。,
