管理番号,変換前コード,変換前表記,変換後コード,変換後表記,等価性,コメント,自由記載欄
,PID-3,患者ID リスト,Coverage.subject,,equivalent,Patientへの参照を設定する。,
,PID-3,患者ID リスト,Coverage.beneficiary,,equivalent,Patientへの参照を設定する。,
,IN1-0,セグメントID,,,equivalent,,
,IN1-1,セットID-IN1,,,equivalent,,
,IN1-2,保険プランID,Coverage.type,,equivalent,,
,IN1-3,保険会社ID,Coverage.payor,,equivalent,Organization（保険者）への参照を設定する。,
,IN1-3,保険会社ID,Coverage.class.value,,equivalent,公費負担者番号,
,IN1-4,保険会社名,Coverage.class.name,,equivalent,,
,IN1-10,被保険者グループ雇用者ID,Coverage.subscriberId,,equivalent,,
,IN1-10,枝番,Coverage.dependent,,equivalent,,
,IN1-11,被保険者グループ雇用者名,Coverage.subscriberId,,equivalent,,
,IN1-12,プラン有効日付,Coverage.period.start,,equivalent,,
,IN1-13,プラン失効日付,Coverage.period.end,,equivalent,,
,IN1-15,プランタイプ,,,equivalent,,
,IN1-17,被保険者と患者の関係,Coverage.relationship,,equivalent,,
