管理番号,変換前コード,変換前表記,変換後コード,変換後表記,等価性,コメント,自由記載欄
,EVN-6 ,事象発生日時,Encounter.location.period.start,,equivalent,転送保留（ADT^A15）、転送保留の取消（ADT^A26）、患者転送（ADT^A02）、転送の取消（ADT^A12）、外出泊実施（ADT^A21）、外出泊帰院実施（ADT^A22）、外出泊実施の取消（ADT＾A52）、外出泊帰院実施の取消（ADT^A53）メッセージでのみ使用する。それ以外のメッセージでは使用しない。,
,PID-3,患者ID リスト,Encounter.subject,,equivalent,Patientへの参照を設定する。,
,PV1-0,セグメントID,,,equivalent,,
,PV1-1,セットID-PV1,,,equivalent,設定値はSS-MIX2データ種別EncounterStatusを参照。ADT以外から生成する場合（例えばOMP-01のPV1から生成する場合）は in-progress を設定する。,
,PV1-2 ,患者区分,Encounter.class,,equivalent,v3-ActCode,
,PV1-3,来院情報,Encounter.location.location,,equivalent,ADT-31の場合、外出泊先が不明の場合は設定しない。location.statusの設定値はSS-MIX2データ種別EncounterLocationStatusを参照。,
,PV1-6,患者の以前の所在,,,equivalent,,
,PV1-7,主治医,Encounter.participant,,equivalent,v3-ParticipationType から ATND を設定する。,
,PV1-10,診療部門,,,equivalent,,
,PV1-17,入院時医師,Encounter.participant,,equivalent,v3-ParticipationType から ADM を設定する。,
,PV1-36,退院区分,,,equivalent,,
,PV1-44,入院日時,Encounter.period.start,,equivalent,,
,PV1-44,入院日時,Encounter.location.period.start,,equivalent,,
,PV1-45,退院日時,Encounter.period.end,,equivalent,,
,PV1-45,退院日時,Encounter.location.period.end,,equivalent,,
,PV2-0,セグメントID,,,equivalent,ADT以外から生成する場合は使用しない。,
,PV2-1,事前保留所在場所,,,equivalent,ADT以外から生成する場合は使用しない。,
,PV2-8,予定入院日時,Encounter.period.start,,equivalent,ADT以外から生成する場合は使用しない。,
,PV2-8,予定入院日時,Encounter.location.period.start,,equivalent,ADT以外から生成する場合は使用しない。,
,PV2-9,予定退院日時,Encounter.period.end,,equivalent,ADT以外から生成する場合は使用しない。,
,PV2-9,予定退院日時,Encounter.location.period.end,,equivalent,ADT以外から生成する場合は使用しない。,
,PV2-47,予定帰院日時,Encounter.period.end,,equivalent,ADT以外から生成する場合は使用しない。,
