管理番号,変換前コード,変換前表記,変換後コード,変換後表記,等価性,コメント,自由記載欄
,PID-3,患者ID リスト,AllergyIntolerance.patient,,equivalent,Patientへの参照を設定する。,
,IAM-0,セグメントID,,,equivalent,,
,IAM-1,セットID-IAM,,,equivalent,,
,IAM-2,アレルゲン分類,AllergyIntolerance.category,,equivalent,,
,IAM-3,アレルゲン情報,AllergyIntolerance.code,,equivalent,,
,IAM-4,アレルギー重症度,AllergyIntolerance.reaction.severity,,relatedto,,
,IAM-5,アレルギー反応情報,AllergyIntolerance.reaction.description,,equivalent,,
,IAM-5,アレルギー反応情報,AllergyIntolerance.reaction.manifestation,,equivalent,コード化できない場合、テキストのみ設定。欠損値として「アレルギー反応情報なし」などを設定する。,
,IAM-6,アレルギーアクションコード,AllergyIntolerance.clinicalStatus,,equivalent,,
,IAM-9,アレルギー物質に対する感受性,AllergyIntolerance.type,,equivalent,,
,IAM-11,アレルギー発症日,AllergyIntolerance.onsetDateTime,,equivalent,,
,IAM-12,副作用情報 アレルギー発症時期,AllergyIntolerance.onsetString,,equivalent,,
,IAM-13,副作用情報 情報提供日時,AllergyIntolerance.recordedDate,,equivalent,,
,IAM-14,情報提供者,,,equivalent,,
,IAM-15,情報提供者と患者の続柄,,,equivalent,,
,IAM-17,アレルギー臨床確認状況,AllergyIntolerance.verificationStatus,,equivalent,,
,IAM-18,確認者,AllergyIntolerance.assester,,equivalent,,
,IAM-17,アレルギー臨床確認状況,AllergyIntolerance.verificationStatus,,equivalent,,
,IAM-19,確認機関,,,equivalent,,
,IAM-20,確認日時,,,equivalent,,
