管理番号,変換前コード,変換前表記,変換後コード,変換後表記,等価性,コメント,自由記載欄
,MSH-9,メッセージ型,Encounter.status,,equivalent,Table v2-0003 to EncounterStatusを参照。,
,MSH-9,メッセージ型,Encounter.location.status,,equivalent,Table v2-0003 to EncounterLocationStatusを参照。,
,EVN-6 ,事象発生日時,Encounter.location.period.start,,equivalent,ADT-31、ADT-32、ADT-42の場合、設定する。,
,PID-3,患者ID リスト,Encounter.subject,,equivalent,Patientへの参照を設定する。,
,PV1-0,セグメントID,,,equivalent,,
,PV1-1,セットID-PV1,,,equivalent,,
,PV1-2 ,患者区分,Encounter.class,,equivalent,v3-ActCodeを設定する。,
,PV1-3,来院情報,Encounter.location.location,,equivalent,ADT-31の場合、外出泊先が不明の場合は固定値を設定する。location.statusの設定値はSS-MIX2データ種別EncounterLocationStatusを参照。,
,PV1-6,患者の以前の所在,,,equivalent,,
,PV1-7,主治医,Encounter.participant,,equivalent,v3-ParticipationType から ATND を設定する。,
,PV1-10,診療部門,,,equivalent,,
,PV1-17,入院時医師,Encounter.participant,,equivalent,v3-ParticipationType から ADM を設定する。,
,PV1-36,退院区分,Encounter.diagnostics.condition.identifier,,equivalent,use には diagnosis-role から DD を設定する。,
,PV1-36,退院区分,Encounter.diagnostics.condition.display,,equivalent,退院区分の表記を設定する。,
,PV1-44,入院日時,Encounter.period.start,,equivalent,患者区分が入院の場合、イベント型に関係なく入院日時を設定する。,
,PV1-44,入院日時,Encounter.location.period.start,,equivalent,ADT-22の場合、入院日時を設定する。,
,PV1-45,退院日時,Encounter.period.end,,equivalent,患者区分が入院の場合、イベント型に関係なく退院日時を設定する。,
,PV1-45,退院日時,Encounter.location.period.end,,equivalent,ADT-52の場合、退院日時を設定する。,
,PV2-0,セグメントID,,,equivalent,ADT以外から生成する場合は使用しない。,
,PV2-1,事前保留所在場所,,,equivalent,ADT以外から生成する場合は使用しない。,
,PV2-8,予定入院日時,Encounter.period.start,,equivalent,ADT-21の場合、設定する。,
,PV2-8,予定入院日時,Encounter.location.period.start,,equivalent,ADT-21、ADT-41の場合、設定する。,
,PV2-9,予定退院日時,Encounter.period.end,,equivalent,ADT-21の場合、設定する。,
,PV2-9,予定退院日時,Encounter.location.period.end,,equivalent,ADT-51の場合、設定する。,
,PV2-47,予定帰院日時,Encounter.location.period.end,,equivalent,ADT-31の場合、設定する。,
