管理番号,変換前コード,変換前表記,変換後コード,変換後表記,等価性,コメント,自由記載欄
,PID-3,患者ID リスト,DiagnosticReport.subject,,equivalent,Patientへの参照を設定する。,
,SPM,検体セグメント,DiagnosticReport.specimen,,equivalent,Specimenへの参照を設定する。,
,OBR-0,セグメントID,,,equivalent,,
,OBR-1,セットID-OBR,,,equivalent,,
,OBR-2,依頼者オーダ番号,DiagnosticReport.identifier,,equivalent,,
,OBR-3,実施者オーダ番号,DiagnosticReport.identifier,,equivalent,,
,OBR-4,検査項目ID,DiagnosticReport.category,,equivalent,,
,OBR-4,検査項目ID,DiagnosticReport.code,,equivalent,,
,OBR-7,検査/採取日時,DiagnosticReport.effectivePeriod.start,,equivalent,,
,OBR-8,検査/採取終了日時,DiagnosticReport.effectivePeriod.end,,equivalent,,
,OBR-12,危険(検体)コード,,,equivalent,,
,OBR-16,依頼者,,,equivalent,,
,OBR-22,結果報告/状態変更-日時,DiagnosticReport.issued,,equivalent,,
,OBR-26,親結果,,,equivalent,,
,OBX,検査結果セグメント,DiagnosticReport.result,,equivalent,Observationへの参照を設定する。,
