管理番号,変換前コード,変換前表記,変換後コード,変換後表記,等価性,コメント,自由記載欄
,PID-3,患者ID リスト,MedicationRequest.subject,,equivalent,Patientへの参照を設定する。,
,ORC-2,依頼者オーダ番号,MedicationRequest.identifier:RequestIdentifier,,equivalent,,
,ORC-4,依頼者グループ番号,MedicationRequest.identifier:RpNumber,,equivalent,ORC-4から、Rp番号を抽出し設定する。,
,ORC-4,依頼者グループ番号,MedicationRequest.identifier:OrderInRp,,relatedto,同一RP番号での薬剤の表記順を指定する。,
,ORC-10,入力者,MedicationRequest.recorder,,equivalent,"Practitionerへの参照を設定する。
インラインのPractitionerリソースを生成し、参照してもよい。",
,ORC-12,依頼者,MedicationRequest.requester,,equivalent,"Practitionerへの参照を設定する。
インラインのPractitionerリソースを生成し、参照してもよい。",
,RXE-0,セグメントID,,,equivalent,,
,RXE-2,与薬コード,MedicationRequest.medicationCodeableConcept,,equivalent,,
,RXE-3,与薬量－最小,MedicationRequest.dosageInstruction.doseAndRate.doseQuantity.value,,equivalent,,
,RXE-4,与薬量－最大,MedicationRequest.dosageInstruction.doseAndRate.doseQuantity.value,,equivalent,,
,RXE-5,与薬単位,MedicationRequest.dosageInstruction.doseAndRate.doseQuantity.code,,equivalent,,
,RXE-5,与薬単位,MedicationRequest.dosageInstruction.doseAndRate.doseQuantity.unit,,equivalent,,
,RXE-6,与薬剤形,,,equivalent,,
,RXE-7,依頼者の投薬指示,MedicationRequest.dispenseRequest.extension.valueCodeableConcept,,equivalent,JP_MedicationRequest-DispenseRequest-InstructionForDispense,
,RXE-10,調剤量,MedicationRequest.dispenseRequest.quantity.value,,equivalent,,
,RXE-11,調剤単位,MedicationRequest.dispenseRequest.quantity.code,,equivalent,,
,RXE-11,調剤単位,MedicationRequest.dispenseRequest.quantity.unit,,equivalent,,
,RXE-12,同一薬発行数,MedicationRequest.dispenseRequest.numberOfRepeatsAllowed,,equivalent,Ver. 1.2h以降,2022.6追加byNakane・SWG検討
,RXE-13,オーダ発行者のDEA 番号,MedicationRequest.requester,,equivalent,Practitioner.qualification,
,RXE-14,薬剤師/治療提供者の検証ID,,,equivalent,,
,RXE-15,処方箋番号,MedicationRequest.identifier,,equivalent,,
,RXE-16,薬剤残数,,,equivalent,,
,RXE-17,調剤済薬品数または投与数,,,equivalent,,
,RXE-18,"調剤済薬品数または投与数の最新
日時",,,equivalent,,
,RXE-19,1日あたりの総投与量,MedicationRequest.dosageInstruction.doseAndRate.rateRatio,,equivalent,,
,RXE-21,薬剤部門/治療部門による特別な指示,MedicationRequest.category,,equivalent,,
,RXE-21,薬剤部門/治療部門による特別な指示,MedicationRequest.dispenseRequest.extension.valueCodeableConcept,,equivalent,JP_MedicationRequest-DispenseRequest-InstructionForDispense,
,RXE-25,与薬力価,,,equivalent,,
,RXE-26,与薬力価単位と結合して使用される力価の数値部分で,,,equivalent,,
,RXE-27,与薬指示,,,equivalent,,
,RXE-28,調剤パッケージサイズ,,,equivalent,,
,RXE-29,調剤パッケージサイズの単位,,,equivalent,,
,RXE-30,調剤パッケージ方法,,,equivalent,,
,RXE-31,補足コード,MedicationRequest.medicationCodeableConcept,,equivalent,Ver. 1.2g以降,2022.6追加byNakane・SWG検討
,RXE-32,当初のオーダ日/時間,MedicationRequest.authoredOn,,equivalent,,
,RXE-33,与薬力価量,,,equivalent,,
,RXE-34,与薬力価量単位,,,equivalent,,
,RXE-33,与薬力価量に関連した量単位を提示する。,,,equivalent,,
,RXE-35,薬物コントロールスケジュール,,,equivalent,,
,RXE-36,処方集ステータス,,,equivalent,,
,RXE-37,薬物代替え,,,equivalent,,
,RXE-38,最新の与薬の薬剤部,,,equivalent,,
,RXE-39,最初の調剤量,,,equivalent,,
,RXE-40,調剤薬剤部,,,equivalent,,
,RXE-41,調剤薬剤部の住所,,,equivalent,,
,TQ1-3,繰返しパターン,MedicationRequest.dosageInstruction.timing.code,,equivalent,,
,TQ1-3,繰返しパターン,MedicationRequest.dosageInstruction.additionalInstruction,,equivalent,,
,TQ1-7,開始日時,MedicationRequest.dosageInstruction.extension.valuePeriod.start,,equivalent,JP_MedicationRequest-DosageInstruction-PeriodOfUse,
,TQ1-8,終了日時,MedicationRequest.dosageInstruction.extension.valuePeriod.end,,equivalent,JP_MedicationRequest-DosageInstruction-PeriodOfUse,
,RXR-1,経路,MedicationRequest.dosageInstruction.route,,equivalent,,
,RXR-2,部位,MedicationRequest.dosageInstruction.site,,equivalent,,
,RXR-3,投薬装置,,,equivalent,,
,RXR-4,投薬方法,MedicationRequest.dosageInstruction.method,,equivalent,,
