管理番号,変換前コード,変換前表記,変換後コード,変換後表記,等価性,コメント,自由記載欄
,PID-3,患者ID リスト,MedicationAdministration.subject,,equivalent,Patientへの参照を設定する。,
,RXE-2,与薬コード,,,relatedto,「JHSI 表 0002-注射種別」が設定されているため、マッピング先のリソース選定に使用する（要検討）。,
,RXA-0,セグメントID,,,equivalent,,
,RXA-1,与薬サブID,,,equivalent,,
,RXA-2,投薬サブID,,,equivalent,,
,RXA–3,投薬開始日時,MedicationAdministration.effectivePeriod.start,,equivalent,,
,RXA-4,投薬終了日時,MedicationAdministration.effectivePeriod.end,,equivalent,,
,RXA-5,投薬コード,MedicationAdministration.medicationCodeableConcept,,equivalent,,
,RXA-6,投薬量,MedicationAdministration.dosage.dose.value,,equivalent,,
,RXA-7,投薬単位,MedicationAdministration.dosage.dose.code,,equivalent,,
,RXA-7,投薬単位,MedicationAdministration.dosage.dose.unit,,equivalent,,
,RXA-8,投薬剤形,,,equivalent,,
,RXA-9,投薬注記,MedicationAdministration.note,,equivalent,,
,RXA-10,投薬者,MedicationAdministration.performer.actor,,equivalent,,
,RXA-11,投薬場所,,,equivalent,,
,RXA-12,時間あたりの投薬,MedicationAdministration.dosage.rate ,,equivalent,,
,RXA-13,投薬力価,,,equivalent,,
,RXA-14,投薬力価単位,,,equivalent,,
,RXA-15,薬剤ロット番号,,,equivalent,,
,RXA-16,薬剤有効期限,,,equivalent,,
,RXA-17,薬剤製造者名,,,equivalent,,
,RXA-18,薬剤/治療拒否理由,,,equivalent,,
,RXA-19,指示,,,equivalent,,
,RXA-20,完了状態,MedicationAdministration.status,,equivalent,,
,RXA-21,アクションコード＿RXA,,,equivalent,,
,RXA-22,システム入力日時,,,equivalent,,
,RXA-23,投薬力価量,,,equivalent,,
,RXA-24,投薬力価量単位,,,equivalent,,
,RXA-25,投薬バーコード識別機能,,,equivalent,,
,RXA-26,薬剤オーダタイプ,,,equivalent,,
,RXR-1,経路,MedicationAdministration.dosage.route,,equivalent,RXAにひもづくRXRを対象とする。,
,RXR-2,部位,MedicationAdministration.dosage.site,,equivalent,RXAにひもづくRXRを対象とする。,
,RXR-3,投薬装置,MedicationAdministration.device,,equivalent,RXAにひもづくRXRを対象とする。,
,RXR-4,投薬方法,MedicationAdministration.dosage.method,,equivalent,RXAにひもづくRXRを対象とする。,
