管理番号,変換前コード,変換前表記,変換後コード,変換後表記,等価性,コメント,自由記載欄
,PID-0,セグメントID,,,equivalent,,
,PID-1,セットID-PV1,,,equivalent,,
,PID-3,患者ID リスト,Patient.identifier,,equivalent,,
,PID-5,患者氏名,Patient.name,,equivalent,,
,PID-7,生年月日年齢,Patient.birthDate,,equivalent,,
,PID-8,性別,Patient.gender,,equivalent,,
,PID-11,患者住所,Patient.address,,equivalent,,
,PID-13,電話番号－自宅,Patient.telecom,,equivalent,"system:  phone,  use: home",
,PID-14,電話番号－勤務先,Patient.telecom,,equivalent,"system:  phone,  use: work",
,PID-33,最終更新日時,,,equivalent,,
,DB1-0,セグメントID,,,equivalent,,
,DB1-1,セットID-DB1,,,equivalent,,
,DB1-2,身体障害情報,Patient.extension,,equivalent,http://hl7.org/fhir/R4/extension-patient-disability.html、CodeableConcept1件として設定する。,
,DB1-4,身体障害の有無,Patient.extension,,equivalent,http://hl7.org/fhir/R4/extension-patient-disability.html、CodeableConcept1件として設定する。,
,NK1-0,セグメントID,,,equivalent,,
,NK1-1,セットID-NK1,,,equivalent,,
,NK1-2,氏名,Patient.contact.name,,equivalent,,
,NK1-3,続柄,Patient.contact.relationship,,equivalent,,
,NK1-4,住所,Patient.contact.address,,equivalent,,
,NK1-5,電話番号,Patient.contact.telecom,,equivalent,,
,NK1-6,勤務先電話番号,Patient.contact.telecom,,equivalent,,
,NK1-13,所属組織名,Patient.contact.organization,,equivalent,,
