管理番号,変換前コード,変換前表記,変換後コード,変換後表記,等価性,コメント,自由記載欄
,PID-3,患者ID リスト,Condition.subject,,equivalent,Patientへの参照を設定する。,
,ORC-12,依頼者,Condition.recorder,,equivalent,"Practitionerへの参照を設定する。
インラインのPractitionerリソースを生成し、参照してもよい。",
,PRB-0,セグメントID,,,equivalent,,
,PRB-1,アクションコード,Condition.verificationStatus,,equivalent,DE: entered-in-error（誤入力）,
,PRB-2,アクション日付／時刻,,,equivalent,,
,PRB-3,プロブレムID,Condition.code,,relatedto,,
,PRB-4,プロブレムインスタンスID,Condition.identifier,,equivalent,,
,PRB-5,診療ID エピソード,,,equivalent,,
,PRB-6,プロブレムリストの優先権,,,equivalent,,
,PRB-7,プロブレム設定日付／時刻,Condition.recordedDate,,equivalent,,
,PRB-8,予想されるプロブレム解決日付／時刻,,,equivalent,,
,PRB-9,実際のプロブレム解決日付／時刻,Condition.abatementDateTime,,equivalent,,
,PRB-10,プロブレムの分類,Condition.code,,equivalent,,
,PRB-11,プロブレムマネジメント職種,,,equivalent,,
,PRB-12,プロブレムの長期化,,,equivalent,,
,PRB-13,プロブレムの確認状態,Condition.verificationStatus,,equivalent,,
,PRB-14,プロブレムのライフサイクル状態,Condition.hospitalization,,equivalent,,
,PRB-15,プロブレムのライフサイクル状態の日付／時刻,Condition.abatementDateTime,,equivalent,,
,PRB-15,プロブレムのライフサイクル状態の日付／時刻,Condition.clinicalStatus,,equivalent,,
,PRB-16,プロブレムの発生日付,Condition.onsetDateTime,,equivalent,,
,PRB-17,プロブレムの発生テキスト,Condition.text,,equivalent,,
,PRB-18,プロブレムのランキング,,,equivalent,,
,PRB-19,プロブレムの確実性,,,equivalent,,
,PRB-20,プロブレムの確率（0-1）,,,equivalent,,
,PRB-21,プロブレムの個々の認識,,,equivalent,,
,PRB-22,プロブレムの予後,,,equivalent,,
,PRB-23,予後についての患者個人の認識,,,equivalent,,
,PRB-24,プロブレム／予後についての家族その他重要な関係者の認識,,,equivalent,,
,PRB-25,セキュリティ／感受性,,,equivalent,,
,ZPR-1,修飾語管理番号（接頭語）,,,equivalent,,
,ZPR-2,病名管理番号,,,equivalent,,
,ZPR-3,修飾語管理番号（接尾語）,,,equivalent,,
,ZPR-4,修飾語交換用コード（接頭語）,,,equivalent,,
,ZPR-5,病名交換用コード,,,equivalent,,
,ZPR-6,修飾語交換用コード（接尾語）,,,equivalent,,
,ZPR-7,コメント,,,equivalent,,
