管理番号,変換前コード,変換前表記,変換後コード,変換後表記,等価性,コメント,自由記載欄
,ADT-01,担当医の変更,in-progress,,equivalent,,
,ADT-01.DEL,担当医の取消,in-progress,,equivalent,,
,ADT-12,外来診察の受付,arrived,,equivalent,,
,ADT-21,入院予定,planned,,equivalent,,
,ADT-21.DEL,入院予定の取消,cancelled,,equivalent,,
,ADT-22,入院実施,arrived,,equivalent,,
,ADT-22.DEL,入院実施の取消,cancelled,,equivalent,,
,ADT-31,外出泊実施,onleave,,equivalent,,
,ADT-31.DEL,外出泊実施の取消,in-progress,,equivalent,,
,ADT-32,外出泊帰院実施,in-progress,,equivalent,,
,ADT-32.DEL,外出泊帰院実施の取消,onleave,,equivalent,,
,ADT-41,転科・転棟(転室・転床)予定,in-progress,,equivalent,,
,ADT-41.DEL,転科・転棟(転室・転床)予定の取消,in-progress,,equivalent,,
,ADT-42,転科・転棟(転室・転床)実施,in-progress,,equivalent,,
,ADT-42.DEL,転科・転棟(転室・転床)実施の取消,in-progress,,equivalent,,
,ADT-51,退院予定,in-progress,,equivalent,,
,ADT-51.DEL,退院予定の取消,in-progress,,equivalent,,
,ADT-52,退院実施,finished,,equivalent,,
,ADT-52.DEL,退院実施の取消,in-progress,,equivalent,,
