管理番号,変換前コード,変換前表記,変換後コード,変換後表記,等価性,コメント,自由記載欄
,A54,担当医の変更,in-progress,,equivalent,,
,A55,担当医の取消,in-progress,,equivalent,,
,A04,外来診察の受付,arrived,,equivalent,,
,A14,入院予定,planned,,equivalent,,
,A27,入院予定の取消,cancelled,,equivalent,,
,A01,入院実施,arrived,,equivalent,,
,A11,入院実施の取消,cancelled,,equivalent,,
,A21,外出泊実施,onleave,,equivalent,,
,A52,外出泊実施の取消,in-progress,,equivalent,,
,A22,外出泊帰院実施,in-progress,,equivalent,,
,A53,外出泊帰院実施の取消,onleave,,equivalent,,
,A15,転科・転棟(転室・転床)予定,in-progress,,equivalent,,
,A26,転科・転棟(転室・転床)予定の取消,in-progress,,equivalent,,
,A02,転科・転棟(転室・転床)実施,in-progress,,equivalent,,
,A12,転科・転棟(転室・転床)実施の取消,in-progress,,equivalent,,
,A16,退院予定,in-progress,,equivalent,,
,A25,退院予定の取消,in-progress,,equivalent,,
,A03,退院実施,finished,,equivalent,,
,A13,退院実施の取消,in-progress,,equivalent,,
